,Num_Acc,mois,hrmn,lum,agg,int,atm,lat,long
32084,201800032085,4,1830,1,2,1,7.0,50.57008,2.278
32085,201800032086,5,1135,1,1,2,7.0,50.6571,2.04698
32086,201800032087,7,650,1,1,2,1.0,50.72714,2.1913
32087,201800032088,7,1720,1,2,1,1.0,50.60807,2.18633
32088,201800032089,8,1025,1,2,2,1.0,50.61532,2.21322
32089,201800032090,9,1300,1,1,2,2.0,50.60955,2.29828
32090,201800032091,9,1820,1,1,1,1.0,50.72292,2.09904
32091,201800032092,9,1900,1,1,1,1.0,50.75457,2.17869
32092,201800032093,9,2030,2,1,1,1.0,50.61687,2.12422
32093,201800032094,10,1615,1,1,1,1.0,50.7227,2.14318
32094,201800032095,12,2115,3,1,1,8.0,50.6474,2.20738
32095,201800032096,12,140,3,2,1,1.0,50.58437,2.16178
32096,201800032097,1,12,5,2,2,2.0,48.08133,7.35336
32097,201800032098,1,700,5,2,2,1.0,48.07303,7.3431
32098,201800032099,1,1802,3,2,6,1.0,48.06931,7.33142
32099,201800032100,1,1751,4,2,5,2.0,48.08836,7.35975
32100,201800032101,2,748,2,2,1,1.0,48.08439,7.35684
32101,201800032102,2,1220,1,2,4,1.0,48.0811,7.34903
32102,201800032103,2,740,2,2,3,1.0,48.08012,7.32592
32103,201800032104,2,650,2,2,2,1.0,48.07671,7.366
32104,201800032105,2,815,1,2,3,7.0,48.07478,7.33188
32105,201800032106,5,450,5,2,1,1.0,48.07821,7.35361
32106,201800032107,4,1239,1,2,1,1.0,48.07481,7.35951
32107,201800032108,5,1844,1,2,1,1.0,48.07984,7.37109
32108,201800032109,5,1959,1,2,9,1.0,48.073,7.32601
32109,201800032110,4,1730,1,2,2,1.0,48.07342,7.34932
32110,201800032111,4,1419,1,2,1,1.0,48.08276,7.33388
32111,201800032112,5,808,1,2,1,1.0,48.06681,7.36441
32112,201800032113,5,825,1,2,1,1.0,48.08112,7.35945
32113,201800032114,5,1547,1,2,1,1.0,48.07,7.33
32114,201800032115,6,1640,1,2,3,3.0,48.09325,7.37726
32115,201800032116,6,1312,1,2,1,1.0,48.08395,7.34566
32116,201800032117,6,117,3,2,1,1.0,48.09937,7.35826
32117,201800032118,7,2230,5,2,1,1.0,48.08097,7.35536
32118,201800032119,7,1630,1,2,1,1.0,48.08362,7.34923
32119,201800032120,4,1120,1,2,1,1.0,48.07702,7.35994
32120,201800032121,7,1141,1,2,1,1.0,48.0755,7.34203
32121,201800032122,7,150,5,2,3,1.0,48.0766,7.35
32122,201800032123,8,1456,1,2,6,1.0,48.10838,7.3636
32123,201800032124,8,1821,1,2,1,1.0,48.06974,7.36035
32124,201800032125,8,1235,1,2,9,1.0,48.06199,7.33853
32125,201800032126,8,918,1,2,6,1.0,48.08981,7.37578
