Num_Acc,catv,obs,obsm,manv
201800000151,07,00,2,01
201800000152,99,00,2,00
201800000152,02,00,2,00
201800000153,07,13,0,01
201800000154,07,00,2,01
201800000154,07,00,2,13
201800000155,07,00,0,01
201800000156,07,13,9,10
201800000157,07,00,2,01
201800000157,07,00,2,15
201800000157,07,00,2,23
201800000158,33,11,0,17
201800000159,07,00,2,01
201800000159,33,01,2,01
201800000160,33,03,0,00
201800000161,33,01,0,14
201800000162,07,07,0,19
201800000162,07,06,0,01
201800000163,07,00,1,17
201800000164,07,01,0,01
201800000165,07,00,1,01
201800000166,21,00,2,04
201800000166,01,00,2,05
201800000167,31,00,2,01
201800000167,07,00,2,01
201800000168,07,00,1,01
201800000169,15,00,2,02
201800000169,10,03,0,02
201800000170,15,00,0,01
201800000170,07,00,2,02
201800000171,07,03,2,05
201800000171,10,03,2,01
201800000172,33,00,0,02
201800000173,07,10,0,02
201800000174,10,00,0,02
201800000174,15,00,0,02
201800000175,07,00,2,01
201800000175,07,08,2,01
201800000176,33,00,0,01
201800000177,33,00,2,01
201800000177,07,00,2,15
201800000178,07,00,0,01
201800000179,07,00,2,01
201800000179,07,03,2,01
201800000180,07,00,2,01
201800000180,13,00,2,15
201800000181,10,00,2,01
201800000181,31,00,2,15
201800000182,34,00,0,00
201800000183,38,00,2,01
201800000183,07,00,2,19
201800000184,07,00,0,01
201800000184,38,00,0,01
201800000185,02,08,0,13
201800000186,07,06,2,02
201800000186,07,00,0,02
201800000187,07,00,2,02
201800000187,01,00,0,01
201800000188,07,00,1,15
201800000189,21,00,2,15
201800000189,33,00,2,17
201800000190,07,13,9,00
201800000191,07,00,2,01
201800000191,07,13,0,01
201800000192,07,00,2,01
201800000192,07,01,0,15
201800000193,07,00,2,19
201800000193,07,00,2,01
201800000194,33,00,6,17
201800000195,02,00,2,17
201800000195,02,00,2,21
201800000196,07,00,1,01
201800000197,07,00,2,15
201800000197,02,00,2,17
201800000198,07,02,0,01
201800000199,07,00,2,13
201800000199,07,00,2,01
201800000200,07,00,1,14
201800000201,07,00,2,01
201800000201,07,00,0,01
201800000202,07,00,2,19
201800000202,33,00,2,01
201800000203,02,00,2,01
201800000203,07,00,2,23
201800000204,07,00,2,20
201800000204,02,00,2,01
201800000205,02,00,0,01
201800000206,33,02,0,01
201800000207,02,00,2,17
201800000207,07,00,0,15
201800000208,07,00,1,06
201800000209,07,00,9,14
201800000209,01,00,2,00
201800000210,07,00,2,01
201800000210,07,00,2,15
201800000211,02,01,0,16
201800000211,13,00,0,24
201800000212,07,00,2,00
201800000212,03,00,2,02
201800000212,07,00,2,01
201800000212,07,00,0,24
201800000213,07,00,9,15
201800000213,01,00,2,01
201800000213,01,00,9,01
201800000214,07,08,0,01
201800000215,07,00,0,00
201800000215,07,00,2,01
201800000216,01,00,2,01
201800000216,07,00,0,01
201800000217,07,00,1,01
201800000218,07,00,0,01
201800000219,07,00,2,19
201800000219,02,15,2,01
201800000220,07,06,0,01
201800000221,07,07,0,01
201800000222,01,00,2,01
201800000222,01,00,0,02
201800000223,07,00,1,18
201800000224,07,01,0,02
201800000224,07,00,0,24
201800000225,02,00,0,00
201800000226,33,00,2,10
201800000226,07,00,2,01
201800000227,07,00,2,19
201800000227,07,00,2,01
201800000228,10,00,2,01
201800000228,07,00,2,01
201800000229,07,00,2,15
201800000229,33,00,2,00
201800000229,07,00,2,01
201800000229,07,00,2,01
201800000230,35,06,0,10
201800000231,02,00,2,13
201800000231,07,00,9,01
201800000232,07,00,2,13
201800000232,07,00,2,01
201800000233,07,00,2,16
201800000233,07,00,2,00
201800000233,07,00,2,01
201800000234,07,00,1,04
201800000235,03,16,0,00
201800000236,07,00,2,05
201800000236,15,00,2,01
201800000237,17,00,2,01
201800000237,07,00,2,13
201800000238,07,00,2,01
201800000238,07,00,2,13
201800000239,14,00,2,15
201800000239,33,00,2,01
201800000239,07,00,2,23
201800000240,07,06,0,13
201800000241,33,00,9,01
201800000242,21,00,0,01
201800000243,02,00,2,01
201800000243,07,00,2,09
201800000244,07,00,2,01
201800000244,07,03,2,01
201800000245,07,13,0,01
201800000246,02,00,0,01
201800000247,33,06,0,01
201800000248,07,00,2,01
201800000248,10,00,2,19
201800000249,07,00,2,01
201800000249,07,00,0,09
201800000250,07,06,0,01
201800000251,33,16,0,01
201800000252,07,13,0,01
201800000253,07,08,0,01
201800000254,07,00,2,01
201800000254,07,00,2,13
201800000255,07,00,2,13
201800000255,07,00,2,02
201800000256,07,00,2,02
201800000256,02,00,0,02
201800000257,07,00,2,19
201800000257,30,00,2,02
201800000258,07,00,2,19
201800000258,31,00,2,01
201800000259,07,00,0,16
201800000259,07,08,2,09
201800000260,07,07,0,15
201800000260,07,03,2,17
201800000261,07,00,1,14
201800000262,07,00,2,02
201800000262,14,00,0,02
201800000263,33,00,2,16
201800000263,07,00,2,18
201800000264,07,00,2,01
201800000264,07,00,2,13
201800000265,07,06,0,01
201800000266,33,00,2,01
201800000266,07,00,2,15
201800000267,07,00,2,00
201800000267,07,00,2,00
201800000268,07,00,2,09
201800000268,07,00,2,01
201800000269,07,02,0,17
201800000270,10,00,2,17
201800000270,07,00,2,01
201800000271,07,00,2,01
201800000271,07,00,2,09
201800000272,07,02,0,14
201800000273,07,16,0,13
201800000274,07,11,0,13
201800000275,07,00,2,17
201800000275,07,00,2,21
201800000276,07,00,2,00
201800000276,33,00,2,17
201800000277,07,00,0,21
201800000277,07,00,0,15
201800000278,30,11,0,01
201800000279,02,00,2,01
201800000279,07,00,2,05
201800000280,07,02,9,00
201800000281,07,00,1,01
201800000282,07,00,1,01
201800000283,07,01,0,01
201800000284,07,00,2,01
201800000284,01,00,2,01
201800000285,07,00,9,01
201800000285,01,00,2,01
201800000286,07,06,0,06
201800000287,02,00,0,01
201800000288,07,00,2,15
201800000288,33,00,2,00
201800000289,10,00,2,15
201800000289,07,00,2,01
201800000290,07,00,1,01
201800000291,07,00,1,13
201800000292,07,00,2,01
201800000292,07,00,2,01
201800000292,07,00,2,01
201800000292,07,00,2,01
201800000293,07,00,1,02
201800000294,33,00,2,00
201800000294,07,01,2,17
201800000295,13,00,0,01
201800000295,07,00,2,02
201800000295,07,00,2,17
201800000296,10,00,1,01
